"county","year","week","number_of_pools"
"BC",2024,26,5
"BC",2024,27,5
"BC",2024,28,5
"BC",2024,29,5
"LC",2022,23,34
"LC",2022,24,45
"LC",2022,25,43
"LC",2022,26,50
"LC",2022,27,54
"LC",2022,28,53
"LC",2022,29,54
"LC",2022,30,52
"LC",2022,31,54
"LC",2022,32,54
"LC",2022,33,54
"LC",2022,34,54
"LC",2022,35,54
"LC",2022,36,44
"LC",2022,37,42
"LC",2023,23,46
"LC",2023,24,49
"LC",2023,25,53
"LC",2023,26,53
"LC",2023,27,53
"LC",2023,28,53
"LC",2023,29,52
"LC",2023,30,52
"LC",2023,31,52
"LC",2023,32,52
"LC",2023,33,53
"LC",2023,34,54
"LC",2023,35,52
"LC",2023,36,33
"LC",2023,37,29
"LC",2024,23,34
"LC",2024,24,35
"LC",2024,25,48
"LC",2024,26,56
"LC",2024,27,55
"LC",2024,28,55
"LC",2024,29,55
