csu_id,trap_id,year,week,trap_date,county,method,spp,total,test_code,cq,seq,zone,lat,long
CSU17224,FC-038,2022,23,6/6/2022,LC,L,Tarsalis,1,0,55.55,0,NE,40.59911,-105.00623
CSU17225,LV-095,2022,23,6/6/2022,LC,L,Tarsalis,3,0,55.55,0,LV,40.444118,-105.022166
CSU17226,FC-036,2022,23,6/6/2022,LC,L,Tarsalis,1,0,55.55,0,NW,40.600766,-105.079837
CSU17228,FC-006,2022,23,6/6/2022,LC,L,Tarsalis,1,0,55.55,0,NE,40.592328,-105.066295
CSU17229,FC-019,2022,23,6/6/2022,LC,L,Tarsalis,5,0,55.55,0,NE,40.565586,-105.05203
CSU17230,FC-072,2022,23,6/6/2022,LC,L,Tarsalis,20,0,55.55,0,NE,40.56953,-105.07117
CSU17233,FC-066,2022,23,6/6/2022,LC,L,Tarsalis,32,0,55.55,0,NE,40.55873,-105.02318
CSU17234,LV-104,2022,23,6/7/2022,LC,L,Tarsalis,4,0,55.55,0,LV,40.396854,-105.020915
CSU17235,LV-110,2022,23,6/7/2022,LC,L,Tarsalis,1,0,55.55,0,LV,40.400764,-105.122681
CSU17236,LV-089,2022,23,6/7/2022,LC,L,Pipiens,2,0,55.55,0,LV,40.400251,-105.042395
CSU17237,LV-089,2022,23,6/7/2022,LC,L,Tarsalis,14,0,55.55,0,LV,40.400251,-105.042395
CSU17238,FC-064,2022,23,6/7/2022,LC,L,Tarsalis,3,0,55.55,0,SE,40.49868,-105.0298
CSU17239,FC-053,2022,23,6/7/2022,LC,L,Tarsalis,13,0,55.55,0,SE,40.49942,-105.01183
CSU17240,FC-053,2022,23,6/7/2022,LC,L,Pipiens,1,0,55.55,0,SE,40.49942,-105.01183
CSU17241,FC-039,2022,23,6/7/2022,LC,L,Tarsalis,3,0,55.55,0,SE,40.48081,-105.03934
CSU17242,FC-075,2022,23,6/7/2022,LC,L,Tarsalis,1,0,55.55,0,SE,40.51138,-105.01987
CSU17243,FC-004,2022,23,6/7/2022,LC,L,Tarsalis,7,0,55.55,0,SE,40.53486,-105.03733
CSU17244,FC-074,2022,23,6/7/2022,LC,L,Tarsalis,27,0,55.55,0,SE,40.51432,-105.00249
CSU17246,FC-059,2022,23,6/7/2022,LC,L,Tarsalis,1,0,55.55,0,SE,40.5426,-105.04604
CSU17247,FC-027,2022,23,6/7/2022,LC,L,Tarsalis,17,0,55.55,0,SE,40.54651,-105.03359
CSU17248,FC-027,2022,23,6/7/2022,LC,L,Pipiens,2,0,55.55,0,SE,40.54651,-105.03359
CSU17249,FC-050,2022,23,6/7/2022,LC,L,Tarsalis,4,0,55.55,0,SE,40.52954,-105.05033
CSU17250,FC-050,2022,23,6/7/2022,LC,L,Pipiens,1,0,55.55,0,SE,40.52954,-105.05033
CSU17251,FC-046,2022,23,6/7/2022,LC,L,Tarsalis,2,0,55.55,0,SE,40.52983,-105.06484
CSU17252,FC-031,2022,23,6/7/2022,LC,L,Tarsalis,1,0,55.55,0,SE,40.50609,-105.03942
CSU17253,LV-020,2022,23,6/8/2022,LC,L,Tarsalis,29,0,55.55,0,LV,40.373964,-105.11349
CSU17254,LC-054,2022,23,6/8/2022,LC,L,Tarsalis,33,0,55.55,0,BE,40.343955,-105.102766
CSU17255,LC-001,2022,23,6/8/2022,LC,L,Tarsalis,9,0,55.55,0,BE,40.302587,-105.084057
CSU17257,FC-061,2022,23,6/8/2022,LC,L,Tarsalis,7,0,55.55,0,NW,40.5688,-105.09165
CSU17258,FC-061,2022,23,6/8/2022,LC,L,Pipiens,1,0,55.55,0,NW,40.5688,-105.09165
CSU17259,FC-063,2022,23,6/8/2022,LC,L,Tarsalis,2,0,55.55,0,NW,40.56568,-105.10485
CSU17260,FC-063,2022,23,6/8/2022,LC,L,Pipiens,1,0,55.55,0,NW,40.56568,-105.10485
CSU17261,FC-041,2022,23,6/8/2022,LC,L,Tarsalis,2,0,55.55,0,NW,40.58794,-105.10486
CSU17262,FC-073,2022,23,6/8/2022,LC,L,Tarsalis,2,0,55.55,0,NW,40.58605,-105.08889
CSU17263,FC-054,2022,23,6/9/2022,LC,L,Tarsalis,4,0,55.55,0,SE,40.49998,-105.0632
CSU17265,FC-068,2022,23,6/9/2022,LC,L,Pipiens,1,0,55.55,0,SW,40.516,-105.08547
