agency_code,agency_pool_num,surv_year,site_name,calculated_county,calculated_state,longitude,latitude,collection_date,disease_week,trap_type,lure,species,sex_condition,num_count,WNV,ctval
CDHD,208,2022,Vet Cemetery,Hall,Nebraska,-98.378377,40.947494,7/12/2022,28,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,2,1,27.78
THHD,329,2022,3 Rivers,Dodge,Nebraska,-96.476559,41.452661,8/2/2022,31,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,25,1,31.41
THHD,328,2022,3 Rivers,Dodge,Nebraska,-96.476559,41.452661,8/2/2022,31,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,11,1,21.62
TWHD,367,2022,PC Fence ( VET Fence),Dawson,Nebraska,-99.762889,40.728667,8/9/2022,32,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,50,1,30.81
TWHD,366,2022,PC Fence ( VET Fence),Dawson,Nebraska,-99.762889,40.728667,8/9/2022,32,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,50,1,27.26
NNHD,430,2022,WSC,Wayne,Nebraska,-97.010658,42.244431,8/17/2022,33,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,28,1,26.88
SHHD,476,2022,HMS (Hastings Middle School),Adams,Nebraska,-98.42255,40.589086,8/18/2022,33,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,50,1,38.02
SHHD,464,2022,GSV (Good Samaritin Village),Adams,Nebraska,-98.364481,40.577623,8/18/2022,33,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,50,1,35.25
SHHD,460,2022,GSV (Good Samaritin Village),Adams,Nebraska,-98.364481,40.577623,8/18/2022,33,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,50,1,27.59
SHHD,477,2022,HMS (Hastings Middle School),Adams,Nebraska,-98.42255,40.589086,8/18/2022,33,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,50,1,27.29
SHHD,466,2022,GSV (Good Samaritin Village),Adams,Nebraska,-98.364481,40.577623,8/18/2022,33,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,50,1,26.08
SHHD,465,2022,GSV (Good Samaritin Village),Adams,Nebraska,-98.364481,40.577623,8/18/2022,33,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,50,1,25.57
SHHD,478,2022,HMS (Hastings Middle School),Adams,Nebraska,-98.42255,40.589086,8/18/2022,33,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,46,1,23.27
TWHD,499,2022,Canaday,Dawson,Nebraska,-99.739667,40.701167,8/23/2022,34,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,6,1,39.37
CDHD,539,2022,Hall Co Park,Hall,Nebraska,-98.37292,40.87566,8/23/2022,34,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,37,1,35.87
ELHD,533,2022,Pollards,Madison,Nebraska,-97.418749,42.010552,8/23/2022,34,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,32,1,28.21
TWHD,501,2022,Canaday,Dawson,Nebraska,-99.739667,40.701167,8/23/2022,34,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,50,1,27.17
TWHD,506,2022,PC Fence ( VET Fence),Dawson,Nebraska,-99.762889,40.728667,8/23/2022,34,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,50,1,27.09
TWHD,500,2022,Canaday,Dawson,Nebraska,-99.739667,40.701167,8/23/2022,34,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,50,1,23.71
DAHD,525,2022,Salvation Army Camp,Dakota,Nebraska,-96.465798,42.44846,8/23/2022,34,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,32,1,21.83
CDHD,538,2022,Hall Co Park,Hall,Nebraska,-98.37292,40.87566,8/23/2022,34,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,40,1,21.28
CDHD,546,2022,Capital & Monitor Rd,Hall,Nebraska,-98.436928,40.945827,8/23/2022,34,CO2-CDC,CO2 (dry ice),Culex pipiens/restuans/salinarius,Females - Mixed,22,1,20.84
LBHD,549,2022,Wayne Lakins,Garfield,Nebraska,-99.125258,41.790681,8/24/2022,34,CO2-CDC,CO2 (dry ice),Culex tarsalis,Females - Mixed,50,1,22.5
