csu_id,trap_id,year,week,trap_date,county,method,spp,total,test_code,cq,copies_WNV,seq,zone,lat,long
CSU19150,FC-014,2022,37,9/14/2022,LC,L,Pipiens,50,0,39.35213,,0,NE,40.56359,-105.006562
CSU20592,FC-074,2023,29,7/18/2023,LC,L,Tarsalis,50,1,39.25,,0,SE,40.51432,-105.00249
CSU18346,FC-019,2022,32,8/8/2022,LC,L,Pipiens,21,0,39.15808,,0,NE,40.565586,-105.05203
CSU18303,FC-015,2022,31,8/3/2022,LC,L,Pipiens,1,0,39.08635,,0,NW,40.5598,-105.12409
CSU18050,FC-014,2022,30,7/25/2022,LC,L,Pipiens,50,0,38.6291,,0,NE,40.56359,-105.006562
CSU21547,FC-072,2023,35,8/28/2023,LC,L,Tarsalis,29,1,38.58809,,0,NE,40.56953,-105.07117
CSU18248,FC-023,2022,31,8/2/2022,LC,L,Tarsalis,6,0,38.56477,,0,SE,40.54466,-105.0641
CSU18160,FC-029,2022,30,7/28/2022,LC,L,Tarsalis,48,0,38.44712,,0,SE,40.51011,-105.06935
CSU20344,LV-095,2023,29,7/17/2023,LC,L,Tarsalis,50,1,38.33,,0,LV,40.444118,-105.022166
CSU18190,FC-006,2022,31,8/1/2022,LC,L,Pipiens,12,0,38.0212,,0,NE,40.592328,-105.066295
CSU20631,WC-055,2023,29,7/19/2023,LC,L,Tarsalis,50,1,37.97,,0,BE,40.28918345,-104.9915449
CSU18580,FC-050,2022,33,8/16/2022,LC,L,Tarsalis,50,0,37.94066,,0,SE,40.52954,-105.05033
CSU18174,FC-034,2022,31,8/1/2022,LC,L,Tarsalis,50,0,37.8596,,0,NE,40.62556,-105.05009
CSU20994,FC-064,2023,31,7/31/2023,LC,L,Tarsalis,50,1,37.7975,,0,SE,40.49868,-105.0298
CSU17904,FC-074,2022,29,7/19/2022,LC,L,Tarsalis,50,0,37.75687,,0,SE,40.51432,-105.00249
