"","surv_year","disease_week","species","pool_size","WNV","ctval","state"
"1","2022",22,"Pipiens",1,0,40,"Nebraska"
"2","2022",22,"Pipiens",1,0,40,"Nebraska"
"3","2022",22,"Tarsalis",2,0,40,"Nebraska"
"4","2022",22,"Pipiens",2,0,40,"Nebraska"
"5","2022",22,"Pipiens",3,0,40,"Nebraska"
"6","2022",22,"Tarsalis",1,0,40,"Nebraska"
"7","2022",22,"Pipiens",1,0,40,"Nebraska"
"8","2022",22,"Pipiens",1,0,40,"Nebraska"
"9","2022",22,"Tarsalis",2,0,40,"Nebraska"
"10","2022",22,"Tarsalis",1,0,40,"Nebraska"
"11","2022",22,"Pipiens",6,0,40,"Nebraska"
"12","2022",22,"Pipiens",2,0,40,"Nebraska"
"13","2022",22,"Pipiens",1,0,40,"Nebraska"
"14","2022",22,"Pipiens",9,0,40,"Nebraska"
"15","2022",22,"Pipiens",2,0,40,"Nebraska"
"16","2022",22,"Pipiens",2,0,40,"Nebraska"
"17","2022",22,"Tarsalis",1,0,40,"Nebraska"
"18","2022",23,"Pipiens",1,0,40,"Nebraska"
"19","2022",23,"Tarsalis",2,0,40,"Nebraska"
"20","2022",23,"Pipiens",3,0,40,"Nebraska"
"21","2022",23,"Tarsalis",5,0,40,"Nebraska"
"22","2022",23,"Pipiens",8,0,40,"Nebraska"
"23","2022",23,"Pipiens",4,0,40,"Nebraska"
"24","2022",23,"Pipiens",1,0,40,"Nebraska"
"25","2022",23,"Tarsalis",2,0,40,"Nebraska"
"26","2022",23,"Pipiens",7,0,40,"Nebraska"
"27","2022",23,"Pipiens",50,0,40,"Nebraska"
"28","2022",23,"Pipiens",29,0,40,"Nebraska"
"29","2022",23,"Tarsalis",3,0,40,"Nebraska"
"30","2022",23,"Pipiens",6,0,40,"Nebraska"
"31","2022",23,"Tarsalis",1,0,40,"Nebraska"
"32","2022",23,"Pipiens",2,0,40,"Nebraska"
"33","2022",23,"Pipiens",1,0,40,"Nebraska"
"34","2022",23,"Pipiens",20,0,40,"Nebraska"
"35","2022",23,"Pipiens",2,0,40,"Nebraska"
"36","2022",23,"Tarsalis",1,0,40,"Nebraska"
"37","2022",23,"Pipiens",2,0,40,"Nebraska"
"38","2022",23,"Tarsalis",1,0,40,"Nebraska"
"39","2022",23,"Tarsalis",1,0,40,"Nebraska"
"40","2022",23,"Pipiens",1,0,40,"Nebraska"
"41","2022",23,"Pipiens",1,0,40,"Nebraska"
"42","2022",23,"Pipiens",5,0,40,"Nebraska"
"43","2022",23,"Tarsalis",10,0,40,"Nebraska"
"44","2022",23,"Tarsalis",3,0,40,"Nebraska"
"45","2022",23,"Pipiens",1,0,40,"Nebraska"
"46","2022",23,"Pipiens",3,0,40,"Nebraska"
"47","2022",23,"Tarsalis",6,0,40,"Nebraska"
"48","2022",23,"Tarsalis",5,0,40,"Nebraska"
"49","2022",23,"Pipiens",13,0,40,"Nebraska"
"50","2022",23,"Tarsalis",10,0,40,"Nebraska"
"51","2022",24,"Tarsalis",2,0,40,"Nebraska"
"52","2022",24,"Pipiens",1,0,40,"Nebraska"
"53","2022",24,"Tarsalis",2,0,40,"Nebraska"
"54","2022",24,"Tarsalis",3,0,40,"Nebraska"
"55","2022",24,"Pipiens",1,0,40,"Nebraska"
"56","2022",24,"Tarsalis",2,0,40,"Nebraska"
"57","2022",24,"Pipiens",7,0,40,"Nebraska"
"58","2022",24,"Pipiens",1,0,40,"Nebraska"
"59","2022",24,"Tarsalis",1,0,40,"Nebraska"
"60","2022",24,"Tarsalis",2,0,40,"Nebraska"
"61","2022",24,"Tarsalis",1,0,40,"Nebraska"
"62","2022",24,"Pipiens",3,0,40,"Nebraska"
"63","2022",24,"Tarsalis",5,0,40,"Nebraska"
"64","2022",24,"Tarsalis",6,0,40,"Nebraska"
"65","2022",24,"Tarsalis",4,0,40,"Nebraska"
"66","2022",24,"Tarsalis",4,0,40,"Nebraska"
"67","2022",24,"Tarsalis",4,0,40,"Nebraska"
"68","2022",24,"Pipiens",2,0,40,"Nebraska"
"69","2022",24,"Tarsalis",1,0,40,"Nebraska"
"70","2022",24,"Pipiens",2,0,40,"Nebraska"
"71","2022",24,"Tarsalis",17,0,40,"Nebraska"
"72","2022",24,"Pipiens",3,0,40,"Nebraska"
"73","2022",24,"Tarsalis",1,0,40,"Nebraska"
"74","2022",24,"Tarsalis",1,0,40,"Nebraska"
"75","2022",24,"Tarsalis",6,0,40,"Nebraska"
"76","2022",25,"Tarsalis",9,0,40,"Nebraska"
"77","2022",25,"Pipiens",3,0,40,"Nebraska"
"78","2022",25,"Tarsalis",30,0,40,"Nebraska"
"79","2022",25,"Tarsalis",47,0,40,"Nebraska"
"80","2022",25,"Tarsalis",1,0,40,"Nebraska"
"81","2022",25,"Pipiens",3,0,40,"Nebraska"
"82","2022",25,"Tarsalis",1,0,40,"Nebraska"
"83","2022",25,"Pipiens",2,0,40,"Nebraska"
"84","2022",25,"Tarsalis",1,0,40,"Nebraska"
"85","2022",25,"Pipiens",2,0,40,"Nebraska"
"86","2022",25,"Tarsalis",10,0,40,"Nebraska"
"87","2022",25,"Pipiens",6,0,40,"Nebraska"
"88","2022",25,"Tarsalis",3,0,40,"Nebraska"
"89","2022",25,"Pipiens",1,0,40,"Nebraska"
"90","2022",25,"Tarsalis",6,0,40,"Nebraska"
"91","2022",25,"Pipiens",3,0,40,"Nebraska"
"92","2022",25,"Tarsalis",14,0,40,"Nebraska"
"93","2022",25,"Tarsalis",2,0,40,"Nebraska"
"94","2022",25,"Tarsalis",1,0,40,"Nebraska"
"95","2022",25,"Pipiens",7,0,40,"Nebraska"
"96","2022",25,"Tarsalis",22,0,40,"Nebraska"
"97","2022",25,"Tarsalis",4,0,40,"Nebraska"
"98","2022",25,"Pipiens",1,0,40,"Nebraska"
"99","2022",25,"Tarsalis",2,0,40,"Nebraska"
"100","2022",25,"Pipiens",2,0,40,"Nebraska"
"101","2022",25,"Tarsalis",4,0,40,"Nebraska"
"102","2022",25,"Pipiens",1,0,40,"Nebraska"
"103","2022",25,"Tarsalis",4,0,40,"Nebraska"
"104","2022",25,"Tarsalis",1,0,40,"Nebraska"
"105","2022",25,"Tarsalis",1,0,40,"Nebraska"
"106","2022",25,"Tarsalis",1,0,40,"Nebraska"
"107","2022",25,"Pipiens",18,0,40,"Nebraska"
"108","2022",25,"Tarsalis",16,0,40,"Nebraska"
"109","2022",25,"Pipiens",5,0,40,"Nebraska"
"110","2022",25,"Tarsalis",4,0,40,"Nebraska"
"111","2022",25,"Pipiens",1,0,40,"Nebraska"
"112","2022",25,"Tarsalis",1,0,40,"Nebraska"
"113","2022",25,"Pipiens",4,0,40,"Nebraska"
"114","2022",25,"Tarsalis",3,0,40,"Nebraska"
"115","2022",25,"Pipiens",1,0,40,"Nebraska"
"116","2022",25,"Pipiens",3,0,40,"Nebraska"
"117","2022",25,"Tarsalis",14,0,40,"Nebraska"
"118","2022",25,"Pipiens",1,0,40,"Nebraska"
"119","2022",25,"Tarsalis",1,0,40,"Nebraska"
"120","2022",26,"Tarsalis",6,0,40,"Nebraska"
"121","2022",26,"Tarsalis",24,0,40,"Nebraska"
"122","2022",26,"Tarsalis",2,0,40,"Nebraska"
"123","2022",26,"Tarsalis",32,0,40,"Nebraska"
"124","2022",26,"Tarsalis",2,0,40,"Nebraska"
"125","2022",26,"Tarsalis",9,0,40,"Nebraska"
"126","2022",26,"Tarsalis",1,0,40,"Nebraska"
"127","2022",26,"Pipiens",1,0,40,"Nebraska"
"128","2022",26,"Tarsalis",3,0,40,"Nebraska"
"129","2022",26,"Tarsalis",2,0,40,"Nebraska"
"130","2022",26,"Tarsalis",4,0,40,"Nebraska"
"131","2022",26,"Tarsalis",3,0,40,"Nebraska"
"132","2022",26,"Pipiens",1,0,40,"Nebraska"
"133","2022",26,"Pipiens",2,0,40,"Nebraska"
"134","2022",26,"Pipiens",1,0,40,"Nebraska"
"135","2022",26,"Tarsalis",1,0,40,"Nebraska"
"136","2022",26,"Tarsalis",1,0,40,"Nebraska"
"137","2022",26,"Tarsalis",3,0,40,"Nebraska"
"138","2022",26,"Pipiens",3,0,40,"Nebraska"
"139","2022",26,"Tarsalis",1,0,40,"Nebraska"
"140","2022",26,"Tarsalis",2,0,40,"Nebraska"
"141","2022",26,"Pipiens",8,0,40,"Nebraska"
"142","2022",26,"Tarsalis",12,0,40,"Nebraska"
"143","2022",26,"Tarsalis",5,0,40,"Nebraska"
"144","2022",26,"Tarsalis",12,0,40,"Nebraska"
"145","2022",26,"Tarsalis",1,0,40,"Nebraska"
"146","2022",26,"Pipiens",1,0,40,"Nebraska"
"147","2022",26,"Pipiens",2,0,40,"Nebraska"
"148","2022",26,"Tarsalis",1,0,40,"Nebraska"
"149","2022",26,"Tarsalis",1,0,40,"Nebraska"
"150","2022",26,"Pipiens",1,0,40,"Nebraska"
"151","2022",26,"Tarsalis",2,0,40,"Nebraska"
"152","2022",26,"Pipiens",2,0,40,"Nebraska"
"153","2022",26,"Pipiens",1,0,40,"Nebraska"
"154","2022",26,"Tarsalis",5,0,40,"Nebraska"
"155","2022",26,"Pipiens",2,0,40,"Nebraska"
"156","2022",27,"Tarsalis",1,0,40,"Nebraska"
"157","2022",27,"Tarsalis",10,0,40,"Nebraska"
"158","2022",27,"Pipiens",2,0,40,"Nebraska"
"159","2022",27,"Tarsalis",37,0,40,"Nebraska"
"160","2022",27,"Tarsalis",49,0,40,"Nebraska"
"161","2022",27,"Pipiens",5,0,40,"Nebraska"
"162","2022",27,"Tarsalis",50,0,40,"Nebraska"
"163","2022",27,"Tarsalis",11,0,40,"Nebraska"
"164","2022",27,"Pipiens",7,0,40,"Nebraska"
"165","2022",27,"Tarsalis",19,0,40,"Nebraska"
"166","2022",27,"Tarsalis",1,0,40,"Nebraska"
"167","2022",27,"Pipiens",1,0,40,"Nebraska"
"168","2022",27,"Tarsalis",2,0,40,"Nebraska"
"169","2022",27,"Pipiens",1,0,40,"Nebraska"
"170","2022",27,"Tarsalis",1,0,40,"Nebraska"
"171","2022",27,"Pipiens",2,0,40,"Nebraska"
"172","2022",27,"Pipiens",3,0,40,"Nebraska"
"173","2022",27,"Tarsalis",1,0,40,"Nebraska"
"174","2022",27,"Pipiens",2,0,40,"Nebraska"
"175","2022",27,"Tarsalis",1,0,40,"Nebraska"
"176","2022",27,"Pipiens",2,0,40,"Nebraska"
"177","2022",27,"Tarsalis",2,0,40,"Nebraska"
"178","2022",27,"Coquillettidia perturbans",50,0,40,"Nebraska"
"179","2022",27,"Coquillettidia perturbans",6,0,40,"Nebraska"
"180","2022",27,"Tarsalis",1,0,40,"Nebraska"
"181","2022",27,"Pipiens",1,0,40,"Nebraska"
"182","2022",27,"Tarsalis",1,0,40,"Nebraska"
"183","2022",27,"Coquillettidia perturbans",50,0,40,"Nebraska"
"184","2022",27,"Coquillettidia perturbans",41,0,40,"Nebraska"
"185","2022",27,"Tarsalis",14,0,40,"Nebraska"
"186","2022",27,"Culiseta inornata",2,0,40,"Nebraska"
"187","2022",27,"Pipiens",4,0,40,"Nebraska"
"188","2022",27,"Pipiens",1,0,40,"Nebraska"
"189","2022",27,"Tarsalis",1,0,40,"Nebraska"
"190","2022",27,"Tarsalis",2,0,40,"Nebraska"
"191","2022",27,"Tarsalis",12,0,40,"Nebraska"
"192","2022",27,"Culiseta inornata",17,0,40,"Nebraska"
"193","2022",27,"Pipiens",3,0,40,"Nebraska"
"194","2022",27,"Pipiens",8,0,40,"Nebraska"
"195","2022",27,"Pipiens",3,0,40,"Nebraska"
"196","2022",27,"Tarsalis",5,0,40,"Nebraska"
"197","2022",27,"Tarsalis",1,0,40,"Nebraska"
"198","2022",28,"Pipiens",1,0,40,"Nebraska"
"199","2022",28,"Tarsalis",5,0,40,"Nebraska"
"200","2022",28,"Tarsalis",10,0,40,"Nebraska"
"201","2022",28,"Pipiens",1,0,40,"Nebraska"
"202","2022",28,"Tarsalis",28,0,40,"Nebraska"
"203","2022",28,"Pipiens",2,0,40,"Nebraska"
"204","2022",28,"Pipiens",2,0,40,"Nebraska"
"205","2022",28,"Pipiens",2,1,27.78,"Nebraska"
"206","2022",28,"Tarsalis",6,0,40,"Nebraska"
"207","2022",28,"Pipiens",2,0,40,"Nebraska"
"208","2022",28,"Pipiens",2,0,40,"Nebraska"
"209","2022",28,"Tarsalis",44,0,40,"Nebraska"
"210","2022",28,"Tarsalis",21,0,40,"Nebraska"
"211","2022",28,"Tarsalis",11,0,40,"Nebraska"
"212","2022",28,"Tarsalis",1,0,40,"Nebraska"
"213","2022",28,"Tarsalis",10,0,40,"Nebraska"
"214","2022",28,"Tarsalis",5,0,40,"Nebraska"
"215","2022",28,"Pipiens",7,0,40,"Nebraska"
"216","2022",28,"Pipiens",3,0,40,"Nebraska"
"217","2022",28,"Tarsalis",1,0,40,"Nebraska"
"218","2022",28,"Pipiens",4,0,40,"Nebraska"
"219","2022",28,"Tarsalis",2,0,40,"Nebraska"
"220","2022",28,"Pipiens",4,0,40,"Nebraska"
